YY1,WGT,INCOME,WAGEINC,NORMINC,IRAKH,THRIFT,RETQLIQ,EDN_INST,DEBT,NETWORTH,ASSET,FIN,CCBAL,DCPLANCJ,AGE,AGECL,HHSEX,MARRIED,KIDS,EDUC,EDCL,RACECL4,LF,HRETQLIQ,ANYPEN,DBPLANCJ,HEDN_INST,NWCAT,INCCAT,has_student_debt,has_ira,has_retirement,age_group,educ_group,race_group,income_group,nw_group,is_married,is_female,in_labor_force,debt_to_income
38,44.8406165484,6282259.5190200005,0.0,6282259.5190200005,2581200.0,3448000.0,6229200.0,0.0,0.0,39188800.0,39188800.0,19838800.0,0.0,1.0,67,5,2,1,0,14,4,1,1,1,1,0,0,5,6,0,1,1,65-74,College degree+,White non-Hispanic,Top 10%,Top 10%,1,1,1,0.0
39,6649.43618876,5901.77855712,0.0,61395.7915832,0.0,0.0,0.0,0.0,81000.0,607000.0,688000.0,4000.0,0.0,0.0,60,4,1,2,0,8,2,2,1,0,0,0,0,3,1,0,0,0,55-64,HS diploma/GED,Black/African-American,Bottom 20%,50-74.9%,0,0,1,0.0
40,15391.6003658,172081.162324,171648.797596,172081.162324,105000.0,0.0,105000.0,60000.0,237100.0,158500.0,395600.0,114400.0,4500.0,0.0,52,3,2,1,0,13,4,1,1,1,1,1,1,2,5,1,1,1,45-54,College degree+,White non-Hispanic,80-89.9%,25-49.9%,1,1,1,0.34867267973835536
41,2196.3103679,15781.3126254,0.0,54045.59118199999,103200.0,0.0,103200.0,0.0,1490.0,188258.0,189748.0,126748.0,1490.0,0.0,69,5,2,1,1,11,3,2,0,1,0,0,0,3,1,0,1,1,65-74,Some college,Black/African-American,Bottom 20%,50-74.9%,1,1,0,0.0
42,2729.8235142599997,46695.3907816,34589.178357,56207.41483,0.0,0.0,0.0,0.0,39906.0,20494.0,60400.0,20600.0,9800.0,0.0,73,5,1,2,0,8,2,2,1,0,0,0,0,1,2,0,0,0,65-74,HS diploma/GED,Black/African-American,20-39.9%,Bottom 25%,0,0,1,0.0
43,11545.348045,13403.3066132,0.0,13403.3066132,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,68,5,2,2,0,4,1,2,0,0,0,0,0,1,1,0,0,0,65-74,No HS diploma,Black/African-American,Bottom 20%,Bottom 25%,0,1,0,0.0
44,2183.8143499,3891.2825651,0.0,86472.945892,0.0,0.0,0.0,40000.0,105000.0,138700.0,243700.0,143700.0,0.0,0.0,36,2,2,2,0,10,3,4,1,0,0,0,1,2,1,1,0,0,35-44,Some college,Other,Bottom 20%,25-49.9%,0,1,1,10.279387150846
45,1705.0530051800001,10809.118236,10809.118236,10809.118236,0.0,0.0,0.0,0.0,2676.0,5384.0,8060.0,2200.0,1000.0,0.0,53,3,2,2,0,8,2,2,1,0,1,1,0,1,1,0,0,0,45-54,HS diploma/GED,Black/African-American,Bottom 20%,Bottom 25%,0,1,1,0.0
46,9220.59664294,77393.28657319999,0.0,77393.28657319999,578600.0,0.0,578600.0,0.0,41270.0,1025150.0,1066420.0,903500.0,3270.0,0.0,81,6,2,2,1,12,4,1,0,1,0,0,0,4,3,0,1,1,75+,College degree+,White non-Hispanic,40-59.9%,75-89.9%,0,1,0,0.0
47,10883.7747782,86472.945892,0.0,86472.945892,0.0,0.0,0.0,0.0,6000.0,20740.0,26740.0,21760.0,4000.0,0.0,61,4,2,2,0,9,3,1,1,0,0,0,0,1,3,0,0,0,55-64,Some college,White non-Hispanic,40-59.9%,Bottom 25%,0,1,1,0.0
